month_key,dealer_id,dealer_tier,dealer_geo,is_subscribed,active_listings,contacts,sales,revenue_eur,revenue_per_listing_eur,revenue_per_lead_eur,search_to_contact_rate,contact_to_sale_rate
2025-09,dlr_000000,mid,FR,1,7,1,0,242.35000000000002,34.621428571428574,242.35000000000002,0.015384615384615385,0.0
2024-06,dlr_000001,small,DE,1,9,0,0,168.8,18.755555555555556,0.0,0.0,0.0
2026-01,dlr_000002,small,DE,0,12,0,0,24.8,2.066666666666667,0.0,0.0,0.0
2024-04,dlr_000003,small,RO,0,6,0,0,0.0,0.0,0.0,0.0,0.0
2023-08,dlr_000004,mid,DE,1,5,1,0,272.05,54.410000000000004,272.05,0.013513513513513514,0.0
2024-01,dlr_000005,mid,FR,1,9,0,0,260.65,28.96111111111111,0.0,0.0,0.0
2025-12,dlr_000006,mid,FR,0,3,0,0,19.8,6.6000000000000005,0.0,0.0,0.0
2023-09,dlr_000007,small,DE,1,4,0,0,158.9,39.725,0.0,0.0,0.0
2025-10,dlr_000008,small,BE,1,4,0,0,158.9,39.725,0.0,0.0,0.0
2024-05,dlr_000009,small,PL,0,4,0,0,0.0,0.0,0.0,0.0,0.0
2025-01,dlr_000010,small,DE,1,12,1,0,178.7,14.891666666666666,178.7,0.011904761904761904,0.0
2024-08,dlr_000011,small,IT,0,8,1,0,41.2,5.15,41.2,0.024390243902439025,0.0
2025-03,dlr_000012,mid,DE,1,2,0,0,211.05,105.525,0.0,0.0,0.0
2024-02,dlr_000013,mid,FR,1,11,1,0,220.95000000000002,20.08636363636364,220.95000000000002,0.0136986301369863,0.0
2024-03,dlr_000014,small,AT,0,5,0,0,19.8,3.96,0.0,0.0,0.0
2023-10,dlr_000015,small,ES,0,5,0,0,9.9,1.98,0.0,0.0,0.0
2025-06,dlr_000016,small,DK,1,3,0,0,168.8,56.26666666666667,0.0,0.0,0.0
2024-12,dlr_000017,mid,RO,1,5,1,0,272.15,54.42999999999999,272.15,0.03225806451612903,0.0
2025-07,dlr_000018,small,DE,0,11,0,0,49.6,4.509090909090909,0.0,0.0,0.0
2025-11,dlr_000019,mid,ES,1,5,0,0,216.05,43.21,0.0,0.0,0.0
2024-07,dlr_000020,small,IT,0,9,0,0,34.7,3.855555555555556,0.0,0.0,0.0
2025-02,dlr_000021,mid,NL,1,4,0,0,201.15,50.2875,0.0,0.0,0.0
2023-11,dlr_000022,small,PL,1,10,1,0,180.3,18.03,180.3,0.011111111111111112,0.0
2025-04,dlr_000023,mid,NL,1,8,0,0,211.05,26.38125,0.0,0.0,0.0
2023-12,dlr_000024,mid,IT,1,10,0,0,245.75,24.575,0.0,0.0,0.0
2024-09,dlr_000025,small,DE,0,4,0,0,0.0,0.0,0.0,0.0,0.0
2025-08,dlr_000026,mid,PL,1,5,0,0,220.95000000000002,44.190000000000005,0.0,0.0,0.0
2024-11,dlr_000027,small,BE,1,7,0,0,178.7,25.52857142857143,0.0,0.0,0.0
2024-10,dlr_000028,small,SE,1,3,0,0,163.9,54.63333333333333,0.0,0.0,0.0
2025-05,dlr_000029,mid,ES,1,3,0,0,211.05,70.35000000000001,0.0,0.0,0.0
2025-09,dlr_000030,small,IT,1,5,0,0,193.6,38.72,0.0,0.0,0.0
2024-06,dlr_000031,small,DE,1,8,1,0,180.3,22.5375,180.3,0.010309278350515464,0.0
2026-01,dlr_000032,small,NL,0,6,0,0,9.9,1.6500000000000001,0.0,0.0,0.0
2024-04,dlr_000033,mid,AT,1,10,0,0,225.95000000000002,22.595000000000002,0.0,0.0,0.0
2023-08,dlr_000034,small,DE,1,5,0,0,188.7,37.739999999999995,0.0,0.0,0.0
2024-01,dlr_000035,small,BE,1,8,0,0,168.8,21.1,0.0,0.0,0.0
2025-12,dlr_000036,small,DE,0,10,0,0,74.30000000000001,7.4300000000000015,0.0,0.0,0.0
2023-09,dlr_000037,small,NL,1,7,0,0,168.8,24.114285714285717,0.0,0.0,0.0
2025-10,dlr_000038,small,FR,1,5,0,0,158.9,31.78,0.0,0.0,0.0
2024-05,dlr_000039,small,ES,0,5,0,0,59.5,11.9,0.0,0.0,0.0
2025-01,dlr_000040,small,DE,1,6,0,0,178.8,29.8,0.0,0.0,0.0
2024-08,dlr_000041,small,DE,1,7,1,0,155.5,22.214285714285715,155.5,0.016129032258064516,0.0
2025-03,dlr_000042,small,ES,1,8,0,0,223.3,27.9125,0.0,0.0,0.0
2024-02,dlr_000043,enterprise,DE,1,2,0,0,360.05,180.025,0.0,0.0,0.0
2024-03,dlr_000044,small,DE,1,5,0,0,158.9,31.78,0.0,0.0,0.0
2023-10,dlr_000045,small,BE,1,7,0,0,168.8,24.114285714285717,0.0,0.0,0.0
2025-06,dlr_000046,mid,FR,1,4,0,0,211.05,52.7625,0.0,0.0,0.0
2024-12,dlr_000047,small,IT,1,6,0,0,183.7,30.616666666666664,0.0,0.0,0.0
2025-07,dlr_000048,mid,SE,1,15,1,0,262.15,17.476666666666667,262.15,0.008,0.0
2025-11,dlr_000049,small,NL,1,4,1,0,155.5,38.875,155.5,0.020833333333333332,0.0
2024-07,dlr_000050,mid,IT,1,9,0,0,245.75,27.305555555555557,0.0,0.0,0.0
2025-02,dlr_000051,small,AT,1,5,0,0,168.8,33.760000000000005,0.0,0.0,0.0
2023-11,dlr_000052,mid,CH,1,4,0,0,235.85000000000002,58.962500000000006,0.0,0.0,0.0
2025-04,dlr_000053,mid,NL,1,4,0,0,235.85000000000002,58.962500000000006,0.0,0.0,0.0
2023-12,dlr_000054,mid,PL,1,5,0,0,220.95000000000002,44.190000000000005,0.0,0.0,0.0
2024-09,dlr_000055,small,DK,1,4,0,0,149.0,37.25,0.0,0.0,0.0
2025-08,dlr_000056,small,DE,0,10,0,0,24.8,2.48,0.0,0.0,0.0
2024-11,dlr_000057,small,NL,0,8,0,0,9.9,1.2375,0.0,0.0,0.0
2024-10,dlr_000058,mid,IT,0,7,0,0,9.9,1.4142857142857144,0.0,0.0,0.0
2025-05,dlr_000059,mid,PL,1,4,0,0,235.85000000000002,58.962500000000006,0.0,0.0,0.0
2025-09,dlr_000060,mid,RO,1,6,0,0,245.75,40.958333333333336,0.0,0.0,0.0
2024-06,dlr_000061,small,DE,1,6,0,0,188.7,31.45,0.0,0.0,0.0
2026-01,dlr_000062,small,BE,1,10,1,1,193.57,19.357,193.57,0.012987012987012988,1.0
2024-04,dlr_000063,small,BE,1,5,0,0,158.9,31.78,0.0,0.0,0.0
2023-08,dlr_000064,small,AT,1,1,0,0,158.9,158.9,0.0,0.0,0.0
2024-01,dlr_000065,small,DE,1,7,0,0,183.7,26.24285714285714,0.0,0.0,0.0
2025-12,dlr_000066,small,FR,1,6,0,0,149.0,24.833333333333332,0.0,0.0,0.0
2023-09,dlr_000067,small,AT,0,4,0,0,34.7,8.675,0.0,0.0,0.0
2025-10,dlr_000068,small,PL,1,8,0,0,158.9,19.8625,0.0,0.0,0.0
2024-05,dlr_000069,mid,RO,0,6,0,0,9.9,1.6500000000000001,0.0,0.0,0.0
2025-01,dlr_000070,small,FR,1,7,0,0,193.6,27.657142857142855,0.0,0.0,0.0
2024-08,dlr_000071,mid,AT,1,6,0,0,235.85000000000002,39.30833333333334,0.0,0.0,0.0
2025-03,dlr_000072,small,DE,1,8,0,0,183.7,22.9625,0.0,0.0,0.0
2024-02,dlr_000073,mid,BE,0,8,0,0,9.9,1.2375,0.0,0.0,0.0
2024-03,dlr_000074,small,FR,1,6,0,0,173.8,28.96666666666667,0.0,0.0,0.0
2023-10,dlr_000075,small,PL,1,8,1,0,215.0,26.875,215.0,0.017857142857142856,0.0
2025-06,dlr_000076,enterprise,RO,1,7,1,0,356.65,50.949999999999996,356.65,0.02702702702702703,0.0
2024-12,dlr_000077,small,FR,0,9,0,0,59.4,6.6,0.0,0.0,0.0
2025-07,dlr_000078,small,PL,1,4,0,0,158.9,39.725,0.0,0.0,0.0
2025-11,dlr_000079,mid,FR,1,5,0,0,275.55,55.11,0.0,0.0,0.0
2024-07,dlr_000080,small,IT,0,12,0,0,29.700000000000003,2.475,0.0,0.0,0.0
2025-02,dlr_000081,enterprise,SE,1,2,0,0,335.25,167.625,0.0,0.0,0.0
2023-11,dlr_000082,small,RO,0,4,0,0,34.7,8.675,0.0,0.0,0.0
2025-04,dlr_000083,small,RO,1,8,0,0,213.4,26.675,0.0,0.0,0.0
2023-12,dlr_000084,small,ES,1,4,0,0,168.8,42.2,0.0,0.0,0.0
2024-09,dlr_000085,small,DE,1,5,1,0,173.8,34.760000000000005,173.8,0.02702702702702703,0.0
2025-08,dlr_000086,small,ES,1,11,0,0,223.4,20.30909090909091,0.0,0.0,0.0
2024-11,dlr_000087,small,IT,1,6,0,0,168.8,28.133333333333336,0.0,0.0,0.0
2024-10,dlr_000088,mid,ES,1,13,0,0,235.85000000000002,18.142307692307693,0.0,0.0,0.0
2025-05,dlr_000089,enterprise,FR,1,4,1,0,341.75,85.4375,341.75,0.037037037037037035,0.0
2025-09,dlr_000090,small,RO,1,8,0,0,193.6,24.2,0.0,0.0,0.0
2024-06,dlr_000091,small,DE,0,6,0,0,34.7,5.783333333333334,0.0,0.0,0.0
2026-01,dlr_000092,enterprise,RO,1,2,1,0,376.45,188.225,376.45,0.045454545454545456,0.0
2024-04,dlr_000093,small,BE,0,9,0,0,34.7,3.855555555555556,0.0,0.0,0.0
2023-08,dlr_000094,small,IT,1,3,0,0,173.8,57.93333333333334,0.0,0.0,0.0
2024-01,dlr_000095,small,RO,0,6,0,0,29.700000000000003,4.95,0.0,0.0,0.0
2025-12,dlr_000096,mid,DE,0,6,0,0,14.9,2.4833333333333334,0.0,0.0,0.0
2023-09,dlr_000097,mid,FR,1,5,0,0,211.05,42.21,0.0,0.0,0.0
2025-10,dlr_000098,small,FR,1,7,1,0,180.3,25.75714285714286,180.3,0.015384615384615385,0.0
2024-05,dlr_000099,mid,SE,1,4,0,0,235.85000000000002,58.962500000000006,0.0,0.0,0.0
2025-01,dlr_000100,mid,DK,1,8,0,0,255.75,31.96875,0.0,0.0,0.0
2024-08,dlr_000101,small,DE,0,6,0,0,59.5,9.916666666666666,0.0,0.0,0.0
2025-03,dlr_000102,mid,AT,1,8,0,0,235.85000000000002,29.481250000000003,0.0,0.0,0.0
2024-02,dlr_000103,enterprise,PL,1,5,1,0,341.75,68.35,341.75,0.02631578947368421,0.0
2024-03,dlr_000104,small,DE,0,7,0,0,24.8,3.542857142857143,0.0,0.0,0.0
2023-10,dlr_000105,small,AT,1,6,0,0,168.8,28.133333333333336,0.0,0.0,0.0
2025-06,dlr_000106,mid,FR,1,12,0,0,240.85000000000002,20.070833333333336,0.0,0.0,0.0
2024-12,dlr_000107,small,ES,1,12,1,0,205.1,17.091666666666665,205.1,0.011235955056179775,0.0
2025-07,dlr_000108,small,FR,1,11,0,0,218.4,19.854545454545455,0.0,0.0,0.0
2025-11,dlr_000109,small,NL,1,7,0,0,208.5,29.785714285714285,0.0,0.0,0.0
2024-07,dlr_000110,enterprise,NL,1,5,0,0,335.25,67.05,0.0,0.0,0.0
